"Goals","factor","GF","KA","KP","LN","MDK","MP","TS","ZH"
"My goal is to get to the point where I am earning over three thousand dollars each month within the next three months.","Measurability",NA,NA,NA,NA,6,NA,7,NA
"My goal is to get to the point where I am earning over three thousand dollars each month within the next three months.","Value",NA,NA,NA,NA,4.85714285714286,NA,4.85714285714286,NA
"My goal is to get up to walking 5 miles each week in 3 months","Attainability",NA,5.75,3.25,NA,NA,NA,NA,NA
"My goal is to get up to walking 5 miles each week in 3 months","Consensus",NA,1.5,3.25,NA,NA,NA,NA,NA
"My goal is to get up to walking 5 miles each week in 3 months","External",NA,2,3,NA,NA,NA,NA,NA
"My goal is to get up to walking 5 miles each week in 3 months","Instrumentality",NA,4,5,NA,NA,NA,NA,NA
"My goal is to get up to walking 5 miles each week in 3 months","Measurability",NA,4,6.5,NA,NA,NA,NA,NA
"My goal is to get up to walking 5 miles each week in 3 months","Value",NA,3.57142857142857,5,NA,NA,NA,NA,NA
"My goal is to go for a run at least three times a week.","Attainability",NA,NA,NA,NA,NA,NA,4.75,5.66666666666667
"My goal is to go for a run at least three times a week.","Consensus",NA,NA,NA,NA,NA,NA,2.5,2
"My goal is to go for a run at least three times a week.","External",NA,NA,NA,NA,NA,NA,3.6,3.6
"My goal is to go for a run at least three times a week.","Instrumentality",NA,NA,NA,NA,NA,NA,5.5,3
"My goal is to go for a run at least three times a week.","Measurability",NA,NA,NA,NA,NA,NA,5,5
"My goal is to go for a run at least three times a week.","Value",NA,NA,NA,NA,NA,NA,4.85714285714286,3.57142857142857
"My goal is to go for a walk at least 5 times a week for the next 3 months.","Attainability",NA,NA,NA,3.75,NA,NA,NA,6
"My goal is to go for a walk at least 5 times a week for the next 3 months.","Consensus",NA,NA,NA,2,NA,NA,NA,1.75
"My goal is to go for a walk at least 5 times a week for the next 3 months.","External",NA,NA,NA,3,NA,NA,NA,3.2
"My goal is to go for a walk at least 5 times a week for the next 3 months.","Instrumentality",NA,NA,NA,3.5,NA,NA,NA,4
"My goal is to go for a walk at least 5 times a week for the next 3 months.","Measurability",NA,NA,NA,6,NA,NA,NA,5
"My goal is to go for a walk at least 5 times a week for the next 3 months.","Value",NA,NA,NA,3.42857142857143,NA,NA,NA,3.42857142857143
"My goal is to go hiking once a week during spring.","Attainability",NA,NA,3.25,NA,NA,NA,4.5,NA
"My goal is to go hiking once a week during spring.","Consensus",NA,NA,3.5,NA,NA,NA,0.75,NA
"My goal is to go hiking once a week during spring.","External",NA,NA,5,NA,NA,NA,2.4,NA
"My goal is to go hiking once a week during spring.","Instrumentality",NA,NA,5,NA,NA,NA,4,NA
"My goal is to go hiking once a week during spring.","Measurability",NA,NA,5,NA,NA,NA,5,NA
"My goal is to go hiking once a week during spring.","Value",NA,NA,3.83333333333333,NA,NA,NA,3.85714285714286,NA
"My goal is to go to bed by 11:15 PM every night and wake up by 6:30 AM every morning every weekday.","Attainability",NA,NA,NA,NA,4.75,4.5,NA,NA
"My goal is to go to bed by 11:15 PM every night and wake up by 6:30 AM every morning every weekday.","Consensus",NA,NA,NA,NA,3.25,2,NA,NA
"My goal is to go to bed by 11:15 PM every night and wake up by 6:30 AM every morning every weekday.","External",NA,NA,NA,NA,3.4,5.4,NA,NA
"My goal is to go to bed by 11:15 PM every night and wake up by 6:30 AM every morning every weekday.","Instrumentality",NA,NA,NA,NA,6,5,NA,NA
"My goal is to go to bed by 11:15 PM every night and wake up by 6:30 AM every morning every weekday.","Measurability",NA,NA,NA,NA,6.5,6,NA,NA
"My goal is to go to bed by 11:15 PM every night and wake up by 6:30 AM every morning every weekday.","Value",NA,NA,NA,NA,3.85714285714286,4,NA,NA
"My goal is to go to the dentist to get the rest of my dental implants before summer.","Attainability",4,NA,NA,NA,4.25,NA,NA,NA
"My goal is to go to the dentist to get the rest of my dental implants before summer.","Consensus",2.25,NA,NA,NA,3.25,NA,NA,NA
"My goal is to go to the dentist to get the rest of my dental implants before summer.","External",3.2,NA,NA,NA,3.8,NA,NA,NA
"My goal is to go to the dentist to get the rest of my dental implants before summer.","Instrumentality",3.5,NA,NA,NA,4,NA,NA,NA
"My goal is to go to the dentist to get the rest of my dental implants before summer.","Measurability",5.5,NA,NA,NA,4.5,NA,NA,NA
"My goal is to go to the dentist to get the rest of my dental implants before summer.","Value",3,NA,NA,NA,3.42857142857143,NA,NA,NA
"My goal is to go to the gym 3 times per week.","Attainability",NA,5.5,NA,NA,NA,2.25,NA,NA
"My goal is to go to the gym 3 times per week.","Consensus",NA,0.5,NA,NA,NA,2.5,NA,NA
"My goal is to go to the gym 3 times per week.","External",NA,3.6,NA,NA,NA,4.6,NA,NA
"My goal is to go to the gym 3 times per week.","Instrumentality",NA,5.5,NA,NA,NA,5,NA,NA
"My goal is to go to the gym 3 times per week.","Measurability",NA,5.5,NA,NA,NA,5.5,NA,NA
"My goal is to go to the gym 3 times per week.","Value",NA,4.14285714285714,NA,NA,NA,4.14285714285714,NA,NA
"My goal is to graduate with my masters degree in May.","Attainability",2,4.75,NA,NA,NA,NA,NA,NA
"My goal is to graduate with my masters degree in May.","Consensus",2.5,0.75,NA,NA,NA,NA,NA,NA
"My goal is to graduate with my masters degree in May.","External",5,5.4,NA,NA,NA,NA,NA,NA
"My goal is to graduate with my masters degree in May.","Instrumentality",6.5,6,NA,NA,NA,NA,NA,NA
"My goal is to graduate with my masters degree in May.","Measurability",5,7,NA,NA,NA,NA,NA,NA
"My goal is to graduate with my masters degree in May.","Value",4.57142857142857,6,NA,NA,NA,NA,NA,NA
"My goal is to harvest tomatoes from my own vegetable garden in four months.","Attainability",NA,NA,NA,NA,NA,3.75,NA,5.33333333333333
"My goal is to harvest tomatoes from my own vegetable garden in four months.","Consensus",NA,NA,NA,NA,NA,1.75,NA,0.25
"My goal is to harvest tomatoes from my own vegetable garden in four months.","External",NA,NA,NA,NA,NA,4.2,NA,2
"My goal is to harvest tomatoes from my own vegetable garden in four months.","Instrumentality",NA,NA,NA,NA,NA,3.5,NA,3
"My goal is to harvest tomatoes from my own vegetable garden in four months.","Measurability",NA,NA,NA,NA,NA,6.5,NA,5.5
"My goal is to harvest tomatoes from my own vegetable garden in four months.","Value",NA,NA,NA,NA,NA,4.14285714285714,NA,4.28571428571429
"My goal is to have a net worth of $600K by 3/23/2022.","Attainability",NA,NA,NA,0.5,NA,NA,NA,NA
"My goal is to have a net worth of $600K by 3/23/2022.","Consensus",NA,NA,NA,2.5,NA,NA,NA,NA
"My goal is to have a net worth of $600K by 3/23/2022.","External",NA,NA,NA,2.8,NA,NA,NA,NA
"My goal is to have a net worth of $600K by 3/23/2022.","Instrumentality",NA,NA,NA,4.5,NA,NA,NA,NA
"My goal is to have a net worth of $600K by 3/23/2022.","Measurability",NA,NA,NA,5,NA,NA,NA,NA
"My goal is to have a net worth of $600K by 3/23/2022.","Value",NA,NA,NA,4.14285714285714,NA,NA,NA,NA
"My goal is to have an Etsy store open in three months","Attainability",1,NA,NA,2.75,NA,NA,NA,NA
"My goal is to have an Etsy store open in three months","Consensus",-0.5,NA,NA,0.75,NA,NA,NA,NA
"My goal is to have an Etsy store open in three months","External",1,NA,NA,2.6,NA,NA,NA,NA
"My goal is to have an Etsy store open in three months","Instrumentality",4.5,NA,NA,3.5,NA,NA,NA,NA
"My goal is to have an Etsy store open in three months","Measurability",4.5,NA,NA,5.5,NA,NA,NA,NA
"My goal is to have an Etsy store open in three months","Value",3.71428571428571,NA,NA,2.85714285714286,NA,NA,NA,NA
"My goal is to have my gardening spots in my yard complete in 3 months.","Attainability",NA,8,NA,NA,NA,NA,NA,5.66666666666667
"My goal is to have my gardening spots in my yard complete in 3 months.","Consensus",NA,0,NA,NA,NA,NA,NA,1
"My goal is to have my gardening spots in my yard complete in 3 months.","External",NA,2,NA,NA,NA,NA,NA,4
"My goal is to have my gardening spots in my yard complete in 3 months.","Instrumentality",NA,3.5,NA,NA,NA,NA,NA,4.5
"My goal is to have my gardening spots in my yard complete in 3 months.","Measurability",NA,5.5,NA,NA,NA,NA,NA,5
"My goal is to have my gardening spots in my yard complete in 3 months.","Value",NA,3.85714285714286,NA,NA,NA,NA,NA,3.85714285714286
"My goal is to have my house ready to put on the market by May 1","Attainability",NA,NA,0,NA,NA,NA,6,NA
"My goal is to have my house ready to put on the market by May 1","Consensus",NA,NA,2.33333333333333,NA,NA,NA,0.5,NA
"My goal is to have my house ready to put on the market by May 1","External",NA,NA,5,NA,NA,NA,4.6,NA
"My goal is to have my house ready to put on the market by May 1","Instrumentality",NA,NA,5,NA,NA,NA,5.5,NA
"My goal is to have my house ready to put on the market by May 1","Measurability",NA,NA,4.5,NA,NA,NA,4.5,NA
"My goal is to have my house ready to put on the market by May 1","Value",NA,NA,3.75,NA,NA,NA,4.57142857142857,NA
"My goal is to have my resume up to date to start applying for promotions or other positions within the month.","Attainability",NA,NA,NA,NA,5.25,NA,NA,7
"My goal is to have my resume up to date to start applying for promotions or other positions within the month.","Consensus",NA,NA,NA,NA,4.25,NA,NA,2
"My goal is to have my resume up to date to start applying for promotions or other positions within the month.","External",NA,NA,NA,NA,4,NA,NA,4.4
"My goal is to have my resume up to date to start applying for promotions or other positions within the month.","Instrumentality",NA,NA,NA,NA,6.5,NA,NA,6
"My goal is to have my resume up to date to start applying for promotions or other positions within the month.","Measurability",NA,NA,NA,NA,3,NA,NA,3.5
"My goal is to have my resume up to date to start applying for promotions or other positions within the month.","Value",NA,NA,NA,NA,5.71428571428571,NA,NA,4.71428571428571
"My goal is to help my daughter meet her IEP goals 5 days a week.","Attainability",NA,5,NA,NA,NA,NA,3,NA
"My goal is to help my daughter meet her IEP goals 5 days a week.","Consensus",NA,1.25,NA,NA,NA,NA,1.5,NA
"My goal is to help my daughter meet her IEP goals 5 days a week.","External",NA,5.4,NA,NA,NA,NA,5.8,NA
"My goal is to help my daughter meet her IEP goals 5 days a week.","Instrumentality",NA,4.5,NA,NA,NA,NA,3.5,NA
"My goal is to help my daughter meet her IEP goals 5 days a week.","Measurability",NA,5,NA,NA,NA,NA,3.5,NA
"My goal is to help my daughter meet her IEP goals 5 days a week.","Value",NA,4.42857142857143,NA,NA,NA,NA,5.28571428571429,NA
"My goal is to help my neighbor find a new job in the next month.","Attainability",NA,NA,NA,NA,4,NA,NA,5
"My goal is to help my neighbor find a new job in the next month.","Consensus",NA,NA,NA,NA,0.75,NA,NA,0.25
"My goal is to help my neighbor find a new job in the next month.","External",NA,NA,NA,NA,4.2,NA,NA,3
"My goal is to help my neighbor find a new job in the next month.","Instrumentality",NA,NA,NA,NA,4,NA,NA,2
"My goal is to help my neighbor find a new job in the next month.","Measurability",NA,NA,NA,NA,3.5,NA,NA,4.5
"My goal is to help my neighbor find a new job in the next month.","Value",NA,NA,NA,NA,4.28571428571429,NA,NA,2.71428571428571
"My goal is to improve my credit score in the next three months.","Attainability",NA,5,NA,NA,NA,NA,NA,4.33333333333333
"My goal is to improve my credit score in the next three months.","Consensus",NA,3.5,NA,NA,NA,NA,NA,3.75
"My goal is to improve my credit score in the next three months.","External",NA,3.6,NA,NA,NA,NA,NA,5.4
"My goal is to improve my credit score in the next three months.","Instrumentality",NA,6,NA,NA,NA,NA,NA,5
"My goal is to improve my credit score in the next three months.","Measurability",NA,3,NA,NA,NA,NA,NA,5
"My goal is to improve my credit score in the next three months.","Value",NA,4.28571428571429,NA,NA,NA,NA,NA,4.14285714285714
"My goal is to improve my grooming habits","Attainability",NA,NA,4,3.5,NA,NA,NA,NA
"My goal is to improve my grooming habits","Consensus",NA,NA,2.25,2.5,NA,NA,NA,NA
"My goal is to improve my grooming habits","External",NA,NA,3,4,NA,NA,NA,NA
"My goal is to improve my grooming habits","Instrumentality",NA,NA,3,5.5,NA,NA,NA,NA
"My goal is to improve my grooming habits","Measurability",NA,NA,1.5,2.5,NA,NA,NA,NA
"My goal is to improve my grooming habits","Value",NA,NA,2.85714285714286,3.28571428571429,NA,NA,NA,NA
"My goal is to improve my upper body strength over the next three months","Attainability",NA,NA,4,3,NA,NA,NA,NA
"My goal is to improve my upper body strength over the next three months","Consensus",NA,NA,3.5,2,NA,NA,NA,NA
"My goal is to improve my upper body strength over the next three months","External",NA,NA,3.25,2.2,NA,NA,NA,NA
"My goal is to improve my upper body strength over the next three months","Instrumentality",NA,NA,6,3.5,NA,NA,NA,NA
"My goal is to improve my upper body strength over the next three months","Measurability",NA,NA,4,3.5,NA,NA,NA,NA
"My goal is to improve my upper body strength over the next three months","Value",NA,NA,3.83333333333333,2.85714285714286,NA,NA,NA,NA
"My goal is to increase more time in doing my online jobs so as to increase my income.","Attainability",NA,NA,3.5,NA,NA,NA,3.75,NA
"My goal is to increase more time in doing my online jobs so as to increase my income.","Consensus",NA,NA,3.25,NA,NA,NA,1,NA
"My goal is to increase more time in doing my online jobs so as to increase my income.","External",NA,NA,3.2,NA,NA,NA,3,NA
"My goal is to increase more time in doing my online jobs so as to increase my income.","Instrumentality",NA,NA,5,NA,NA,NA,4.5,NA
"My goal is to increase more time in doing my online jobs so as to increase my income.","Measurability",NA,NA,4.5,NA,NA,NA,4.5,NA
"My goal is to increase more time in doing my online jobs so as to increase my income.","Value",NA,NA,4,NA,NA,NA,3.28571428571429,NA
"My goal is to increase my credit score","Attainability",NA,0.5,NA,NA,NA,NA,3,NA
"My goal is to increase my credit score","Consensus",NA,4,NA,NA,NA,NA,1.75,NA
"My goal is to increase my credit score","External",NA,4,NA,NA,NA,NA,3,NA
"My goal is to increase my credit score","Instrumentality",NA,6,NA,NA,NA,NA,4,NA
"My goal is to increase my credit score","Measurability",NA,3,NA,NA,NA,NA,4,NA
"My goal is to increase my credit score","Value",NA,4.57142857142857,NA,NA,NA,NA,3.42857142857143,NA
"My goal is to increase my credit score to 775 by July 1st.","Attainability",NA,NA,3,NA,4.75,NA,NA,NA
"My goal is to increase my credit score to 775 by July 1st.","Consensus",NA,NA,3.75,NA,3.75,NA,NA,NA
"My goal is to increase my credit score to 775 by July 1st.","External",NA,NA,5.2,NA,3.2,NA,NA,NA
"My goal is to increase my credit score to 775 by July 1st.","Instrumentality",NA,NA,5.5,NA,6.5,NA,NA,NA
"My goal is to increase my credit score to 775 by July 1st.","Measurability",NA,NA,6.5,NA,6.5,NA,NA,NA
"My goal is to increase my credit score to 775 by July 1st.","Value",NA,NA,4.33333333333333,NA,3.85714285714286,NA,NA,NA
"My goal is to increase my drinking of water from none to 64 ounces in 3 month.","Attainability",4.25,NA,4.75,NA,NA,NA,NA,NA
"My goal is to increase my drinking of water from none to 64 ounces in 3 month.","Consensus",2.5,NA,5,NA,NA,NA,NA,NA
"My goal is to increase my drinking of water from none to 64 ounces in 3 month.","External",1.2,NA,2.2,NA,NA,NA,NA,NA
"My goal is to increase my drinking of water from none to 64 ounces in 3 month.","Instrumentality",4,NA,7,NA,NA,NA,NA,NA
"My goal is to increase my drinking of water from none to 64 ounces in 3 month.","Measurability",4,NA,7,NA,NA,NA,NA,NA
"My goal is to increase my drinking of water from none to 64 ounces in 3 month.","Value",2.28571428571429,NA,4,NA,NA,NA,NA,NA
"My goal is to increase my income at my work as a manager by 10% within this year.","Attainability",NA,NA,NA,NA,3,NA,NA,5
"My goal is to increase my income at my work as a manager by 10% within this year.","Consensus",NA,NA,NA,NA,2.5,NA,NA,2
"My goal is to increase my income at my work as a manager by 10% within this year.","External",NA,NA,NA,NA,3.4,NA,NA,4.2
"My goal is to increase my income at my work as a manager by 10% within this year.","Instrumentality",NA,NA,NA,NA,5.5,NA,NA,4
"My goal is to increase my income at my work as a manager by 10% within this year.","Measurability",NA,NA,NA,NA,3,NA,NA,6
"My goal is to increase my income at my work as a manager by 10% within this year.","Value",NA,NA,NA,NA,5.28571428571429,NA,NA,4
"My goal is to increase my wealth over the next three months","Attainability",NA,NA,3.33333333333333,NA,NA,NA,2.75,NA
"My goal is to increase my wealth over the next three months","Consensus",NA,NA,3.75,NA,NA,NA,3.75,NA
"My goal is to increase my wealth over the next three months","External",NA,NA,4.5,NA,NA,NA,4.4,NA
"My goal is to increase my wealth over the next three months","Instrumentality",NA,NA,6,NA,NA,NA,4.5,NA
"My goal is to increase my wealth over the next three months","Measurability",NA,NA,3.5,NA,NA,NA,4,NA
"My goal is to increase my wealth over the next three months","Value",NA,NA,5.16666666666667,NA,NA,NA,5.71428571428571,NA
"My goal is to intermittently fast to lose weight every other day.","Attainability",NA,2.75,4,NA,NA,NA,NA,NA
"My goal is to intermittently fast to lose weight every other day.","Consensus",NA,1.5,3,NA,NA,NA,NA,NA
"My goal is to intermittently fast to lose weight every other day.","External",NA,2.8,3.5,NA,NA,NA,NA,NA
"My goal is to intermittently fast to lose weight every other day.","Instrumentality",NA,4,5,NA,NA,NA,NA,NA
"My goal is to intermittently fast to lose weight every other day.","Measurability",NA,5.5,4.5,NA,NA,NA,NA,NA
"My goal is to intermittently fast to lose weight every other day.","Value",NA,4,3.2,NA,NA,NA,NA,NA
"My goal is to invest $100 in each cryptocurrency on the market within the next 9 months.","Attainability",NA,NA,NA,3.25,NA,0.75,NA,NA
"My goal is to invest $100 in each cryptocurrency on the market within the next 9 months.","Consensus",NA,NA,NA,1.5,NA,2,NA,NA
"My goal is to invest $100 in each cryptocurrency on the market within the next 9 months.","External",NA,NA,NA,2.2,NA,4,NA,NA
"My goal is to invest $100 in each cryptocurrency on the market within the next 9 months.","Instrumentality",NA,NA,NA,3.5,NA,3.5,NA,NA
"My goal is to invest $100 in each cryptocurrency on the market within the next 9 months.","Measurability",NA,NA,NA,5,NA,7,NA,NA
"My goal is to invest $100 in each cryptocurrency on the market within the next 9 months.","Value",NA,NA,NA,2.42857142857143,NA,4,NA,NA
"My goal is to keep going to the gym four times a week.","Attainability",NA,5.25,NA,3,NA,NA,NA,NA
"My goal is to keep going to the gym four times a week.","Consensus",NA,0.5,NA,2.75,NA,NA,NA,NA
"My goal is to keep going to the gym four times a week.","External",NA,2.4,NA,2.4,NA,NA,NA,NA
"My goal is to keep going to the gym four times a week.","Instrumentality",NA,6,NA,3.5,NA,NA,NA,NA
"My goal is to keep going to the gym four times a week.","Measurability",NA,6,NA,4.5,NA,NA,NA,NA
"My goal is to keep going to the gym four times a week.","Value",NA,4.57142857142857,NA,3.14285714285714,NA,NA,NA,NA
"My goal is to keep my apartment clean on a weekly basis.","Attainability",NA,5.25,3,NA,NA,NA,NA,6
"My goal is to keep my apartment clean on a weekly basis.","Consensus",NA,3.5,3,NA,NA,NA,NA,3
"My goal is to keep my apartment clean on a weekly basis.","External",NA,3.6,4.5,NA,NA,NA,NA,3
"My goal is to keep my apartment clean on a weekly basis.","Instrumentality",NA,4,6,NA,NA,NA,NA,5.5
"My goal is to keep my apartment clean on a weekly basis.","Measurability",NA,6,6,NA,NA,NA,NA,3.5
"My goal is to keep my apartment clean on a weekly basis.","Value",NA,4.57142857142857,4.57142857142857,NA,NA,NA,NA,3.42857142857143
"My goal is to keep my disabled wife alive and as healthy as possible.","Attainability",NA,NA,NA,NA,6.5,NA,NA,NA
"My goal is to keep my disabled wife alive and as healthy as possible.","Consensus",NA,NA,NA,NA,2.25,NA,NA,NA
"My goal is to keep my disabled wife alive and as healthy as possible.","External",NA,NA,NA,NA,6.8,NA,NA,NA
"My goal is to keep my disabled wife alive and as healthy as possible.","Instrumentality",NA,NA,NA,NA,3,NA,NA,NA
"My goal is to keep my disabled wife alive and as healthy as possible.","Measurability",NA,NA,NA,NA,4.5,NA,NA,NA
"My goal is to keep my disabled wife alive and as healthy as possible.","Value",NA,NA,NA,NA,5.85714285714286,NA,NA,NA
"My goal is to learn how to use my Cricut crafting machine in the next three months.","Attainability",NA,NA,3.5,NA,NA,NA,3.75,NA
"My goal is to learn how to use my Cricut crafting machine in the next three months.","Consensus",NA,NA,-0.333333333333333,NA,NA,NA,1.33333333333333,NA
"My goal is to learn how to use my Cricut crafting machine in the next three months.","External",NA,NA,1,NA,NA,NA,3.4,NA
"My goal is to learn how to use my Cricut crafting machine in the next three months.","Instrumentality",NA,NA,3.5,NA,NA,NA,4,NA
"My goal is to learn how to use my Cricut crafting machine in the next three months.","Measurability",NA,NA,4,NA,NA,NA,4.5,NA
"My goal is to learn how to use my Cricut crafting machine in the next three months.","Value",NA,NA,2.57142857142857,NA,NA,NA,3.14285714285714,NA
"My goal is to learn to be more patient with my two year every day.","Attainability",NA,4.25,1.5,NA,NA,NA,NA,NA
"My goal is to learn to be more patient with my two year every day.","Consensus",NA,2,4.5,NA,NA,NA,NA,NA
"My goal is to learn to be more patient with my two year every day.","External",NA,4.4,5,NA,NA,NA,NA,NA
"My goal is to learn to be more patient with my two year every day.","Instrumentality",NA,4,4.5,NA,NA,NA,NA,NA
"My goal is to learn to be more patient with my two year every day.","Measurability",NA,1,1,NA,NA,NA,NA,NA
"My goal is to learn to be more patient with my two year every day.","Value",NA,5.85714285714286,5.5,NA,NA,NA,NA,NA
"My goal is to lift weights five times a week.","Attainability",NA,NA,3.25,2.5,NA,NA,NA,NA
"My goal is to lift weights five times a week.","Consensus",NA,NA,3.25,2.5,NA,NA,NA,NA
"My goal is to lift weights five times a week.","External",NA,NA,4.4,2.8,NA,NA,NA,NA
"My goal is to lift weights five times a week.","Instrumentality",NA,NA,6.5,4,NA,NA,NA,NA
"My goal is to lift weights five times a week.","Measurability",NA,NA,6.5,5,NA,NA,NA,NA
"My goal is to lift weights five times a week.","Value",NA,NA,4,2.85714285714286,NA,NA,NA,NA
"My goal is to limit my sugar consumption","Attainability",NA,NA,NA,NA,NA,2.75,NA,7
"My goal is to limit my sugar consumption","Consensus",NA,NA,NA,NA,NA,2.75,NA,2.5
"My goal is to limit my sugar consumption","External",NA,NA,NA,NA,NA,5,NA,2.6
"My goal is to limit my sugar consumption","Instrumentality",NA,NA,NA,NA,NA,4,NA,3
"My goal is to limit my sugar consumption","Measurability",NA,NA,NA,NA,NA,4.5,NA,3
"My goal is to limit my sugar consumption","Value",NA,NA,NA,NA,NA,4.14285714285714,NA,2.57142857142857
"My goal is to limit snacking to two days a week.","Attainability",3.5,4.25,NA,NA,NA,NA,NA,NA
"My goal is to limit snacking to two days a week.","Consensus",1,1.75,NA,NA,NA,NA,NA,NA
"My goal is to limit snacking to two days a week.","External",2,3.8,NA,NA,NA,NA,NA,NA
"My goal is to limit snacking to two days a week.","Instrumentality",4,4,NA,NA,NA,NA,NA,NA
"My goal is to limit snacking to two days a week.","Measurability",5,5,NA,NA,NA,NA,NA,NA
"My goal is to limit snacking to two days a week.","Value",2.28571428571429,3.28571428571429,NA,NA,NA,NA,NA,NA
"My goal is to live a healthier lifestyle by exercising more and eating better.","Attainability",NA,NA,NA,NA,5,3,NA,NA
"My goal is to live a healthier lifestyle by exercising more and eating better.","Consensus",NA,NA,NA,NA,3.5,2.75,NA,NA
"My goal is to live a healthier lifestyle by exercising more and eating better.","External",NA,NA,NA,NA,3.2,4.8,NA,NA
"My goal is to live a healthier lifestyle by exercising more and eating better.","Instrumentality",NA,NA,NA,NA,5,4.5,NA,NA
"My goal is to live a healthier lifestyle by exercising more and eating better.","Measurability",NA,NA,NA,NA,3,4.5,NA,NA
"My goal is to live a healthier lifestyle by exercising more and eating better.","Value",NA,NA,NA,NA,5.42857142857143,5,NA,NA
"My goal is to loose weight, the ultimate goal is at least 60 lbs.","Attainability",NA,NA,1,NA,2.75,NA,NA,NA
"My goal is to loose weight, the ultimate goal is at least 60 lbs.","Consensus",NA,NA,4.25,NA,3.5,NA,NA,NA
"My goal is to loose weight, the ultimate goal is at least 60 lbs.","External",NA,NA,4.66666666666667,NA,4.6,NA,NA,NA
"My goal is to loose weight, the ultimate goal is at least 60 lbs.","Instrumentality",NA,NA,5,NA,5.5,NA,NA,NA
"My goal is to loose weight, the ultimate goal is at least 60 lbs.","Measurability",NA,NA,6.5,NA,7,NA,NA,NA
"My goal is to loose weight, the ultimate goal is at least 60 lbs.","Value",NA,NA,4.33333333333333,NA,4.71428571428571,NA,NA,NA
"My goal is to lose 10 pounds in 2 months","Attainability",2.5,NA,NA,NA,NA,3.5,NA,NA
"My goal is to lose 10 pounds in 2 months","Consensus",2.75,NA,NA,NA,NA,3,NA,NA
"My goal is to lose 10 pounds in 2 months","External",1,NA,NA,NA,NA,4.8,NA,NA
"My goal is to lose 10 pounds in 2 months","Instrumentality",4,NA,NA,NA,NA,5.5,NA,NA
"My goal is to lose 10 pounds in 2 months","Measurability",6,NA,NA,NA,NA,7,NA,NA
"My goal is to lose 10 pounds in 2 months","Value",2.85714285714286,NA,NA,NA,NA,4.28571428571429,NA,NA
"My goal is to lose 10 pounds in the next 3 months","Attainability",NA,4.5,NA,NA,NA,NA,NA,6.33333333333333
"My goal is to lose 10 pounds in the next 3 months","Consensus",NA,1.75,NA,NA,NA,NA,NA,1.75
"My goal is to lose 10 pounds in the next 3 months","External",NA,4.4,NA,NA,NA,NA,NA,3.6
"My goal is to lose 10 pounds in the next 3 months","Instrumentality",NA,5,NA,NA,NA,NA,NA,2.5
"My goal is to lose 10 pounds in the next 3 months","Measurability",NA,7,NA,NA,NA,NA,NA,5
"My goal is to lose 10 pounds in the next 3 months","Value",NA,4.85714285714286,NA,NA,NA,NA,NA,3.14285714285714
"My goal is to lose 10 pounds in the next 6 months","Attainability",NA,NA,NA,NA,4.5,NA,NA,5.66666666666667
"My goal is to lose 10 pounds in the next 6 months","Consensus",NA,NA,NA,NA,3.25,NA,NA,1.5
"My goal is to lose 10 pounds in the next 6 months","External",NA,NA,NA,NA,4.4,NA,NA,3.6
"My goal is to lose 10 pounds in the next 6 months","Instrumentality",NA,NA,NA,NA,6,NA,NA,4
"My goal is to lose 10 pounds in the next 6 months","Measurability",NA,NA,NA,NA,6,NA,NA,5.5
"My goal is to lose 10 pounds in the next 6 months","Value",NA,NA,NA,NA,5.57142857142857,NA,NA,4
"My goal is to lose 12 lbs in the next three months.","Attainability",NA,NA,NA,NA,NA,2.75,4.25,NA
"My goal is to lose 12 lbs in the next three months.","Consensus",NA,NA,NA,NA,NA,2.75,2.5,NA
"My goal is to lose 12 lbs in the next three months.","External",NA,NA,NA,NA,NA,5.2,4.4,NA
"My goal is to lose 12 lbs in the next three months.","Instrumentality",NA,NA,NA,NA,NA,4.5,4,NA
"My goal is to lose 12 lbs in the next three months.","Measurability",NA,NA,NA,NA,NA,6,6.5,NA
"My goal is to lose 12 lbs in the next three months.","Value",NA,NA,NA,NA,NA,4.42857142857143,4.71428571428571,NA
"My goal is to lose 12 pounds in three months.","Attainability",NA,NA,NA,2.75,NA,NA,3.25,NA
"My goal is to lose 12 pounds in three months.","Consensus",NA,NA,NA,2.5,NA,NA,2.25,NA
"My goal is to lose 12 pounds in three months.","External",NA,NA,NA,2.6,NA,NA,3.6,NA
"My goal is to lose 12 pounds in three months.","Instrumentality",NA,NA,NA,3.5,NA,NA,4,NA
"My goal is to lose 12 pounds in three months.","Measurability",NA,NA,NA,5,NA,NA,6,NA
"My goal is to lose 12 pounds in three months.","Value",NA,NA,NA,3.14285714285714,NA,NA,3.85714285714286,NA
"My goal is to lose 15 lbs of fat in 2 months.","Attainability",NA,NA,NA,NA,NA,3,NA,NA
"My goal is to lose 15 lbs of fat in 2 months.","Consensus",NA,NA,NA,NA,NA,3,NA,NA
"My goal is to lose 15 lbs of fat in 2 months.","External",NA,NA,NA,NA,NA,5.6,NA,NA
"My goal is to lose 15 lbs of fat in 2 months.","Instrumentality",NA,NA,NA,NA,NA,4.5,NA,NA
"My goal is to lose 15 lbs of fat in 2 months.","Measurability",NA,NA,NA,NA,NA,6.5,NA,NA
"My goal is to lose 15 lbs of fat in 2 months.","Value",NA,NA,NA,NA,NA,4.42857142857143,NA,NA
"My goal is to lose 15 pounds in the next three months.","Attainability",NA,4.25,2.75,NA,3.75,NA,NA,6.66666666666667
